age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,17546,NO,1,NO,NO,NO,NO,YES
'\'(34.333333-50.666667]\'',MALE,TOWN,30085.1,YES,3,YES,NO,YES,YES,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,16575.4,YES,0,YES,YES,YES,NO,NO
'\'(-inf-34.333333]\'',FEMALE,TOWN,20375.4,YES,3,NO,NO,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,RURAL,50576.3,YES,0,NO,YES,NO,NO,NO
'\'(50.666667-inf)\'',FEMALE,TOWN,37869.6,YES,2,NO,YES,YES,NO,YES
'\'(-inf-34.333333]\'',MALE,RURAL,8877.07,NO,0,NO,NO,YES,NO,YES
'\'(50.666667-inf)\'',MALE,TOWN,24946.6,YES,0,YES,YES,YES,NO,NO
'\'(34.333333-50.666667]\'',FEMALE,SUBURBAN,25304.3,YES,2,YES,NO,NO,NO,NO
'\'(50.666667-inf)\'',MALE,TOWN,24212.1,YES,2,YES,YES,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,TOWN,59803.9,YES,0,NO,YES,YES,NO,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,26658.8,NO,0,YES,YES,YES,YES,NO
'\'(34.333333-50.666667]\'',FEMALE,TOWN,15735.8,YES,1,NO,YES,YES,YES,YES
'\'(50.666667-inf)\'',FEMALE,TOWN,55204.7,YES,1,YES,YES,YES,YES,YES
'\'(34.333333-50.666667]\'',MALE,RURAL,19474.6,YES,0,NO,YES,YES,YES,NO
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,22342.1,YES,0,YES,YES,YES,YES,NO
'\'(34.333333-50.666667]\'',FEMALE,TOWN,17729.8,YES,2,NO,NO,NO,YES,NO
'\'(34.333333-50.666667]\'',FEMALE,SUBURBAN,41016,YES,0,NO,YES,NO,YES,NO
'\'(50.666667-inf)\'',FEMALE,INNER_CITY,26909.2,YES,0,NO,YES,NO,NO,YES
'\'(-inf-34.333333]\'',MALE,TOWN,22522.8,YES,0,YES,YES,YES,NO,NO
'\'(50.666667-inf)\'',MALE,INNER_CITY,57880.7,YES,2,NO,YES,NO,NO,YES
'\'(34.333333-50.666667]\'',MALE,TOWN,16497.3,YES,2,NO,YES,YES,NO,NO
'\'(50.666667-inf)\'',MALE,INNER_CITY,38446.6,YES,0,NO,YES,YES,NO,NO
'\'(-inf-34.333333]\'',FEMALE,TOWN,15538.8,NO,0,YES,YES,YES,YES,NO
'\'(-inf-34.333333]\'',MALE,INNER_CITY,12640.3,NO,2,YES,YES,YES,NO,NO
'\'(50.666667-inf)\'',MALE,INNER_CITY,41034,YES,0,YES,YES,YES,YES,NO
'\'(34.333333-50.666667]\'',MALE,INNER_CITY,20809.7,YES,0,NO,YES,YES,YES,NO
'\'(34.333333-50.666667]\'',FEMALE,TOWN,20114,YES,1,NO,NO,YES,NO,YES
'\'(34.333333-50.666667]\'',FEMALE,INNER_CITY,29359.1,NO,3,YES,NO,YES,YES,NO
'\'(50.666667-inf)\'',MALE,RURAL,24270.1,YES,1,NO,NO,YES,NO,YES
'\'(50.666667-inf)\'',FEMALE,RURAL,22942.9,YES,2,NO,YES,YES,NO,NO
'\'(-inf-34.333333]\'',FEMALE,TOWN,16325.8,YES,2,NO,YES,NO,NO,NO
'\'(34.333333-50.666667]\'',MALE,SUBURBAN,23443.2,YES,1,YES,YES,YES,NO,YES
'\'(-inf-34.333333]\'',FEMALE,INNER_CITY,29921.3,NO,3,YES,YES,NO,NO,NO
'\'(34.333333-50.666667]\'',MALE,SUBURBAN,37521.9,NO,0,NO,YES,YES,NO,YES
