id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_category
0,842,no,2.2,no,1,0,7,0.6,188,2,2,20,756,2549,9,7,19,no,0,yes,0
1,1021,yes,0.5,YES,0,1,53,0.7,136,3,6,905,1988,2631,17,3,7,yes,1,no,0
2,563,yes,0.5,Yes,2,1,41,0.9,145,5,6,1263,1716,2603,11,2,9,yes,1,no,0
3,615,has,2.5,no,0,0,10,0.8,131,6,9,1216,1786,2769,16,8,11,Yes,0,no,0
4,1821,yes,1.2,NO,13,1,44,0.6,141,2,14,1208,1212,1411,8,2,15,Yes,1,no,0
5,1859,No,0.5,yes,3,0,22,0.7,164,1,7,1004,1654,1067,17,1,10,Has,0,no,0
6,1821,no,1.7,NO,4,1,10,0.8,139,8,10,381,1018,3220,13,8,18,yes,0,Yes,1
7,1954,no,0.5,Yes,0,0,24,0.8,187,4,0,512,1149,700,16,3,5,yes,1,yes,0
8,1445,yes,0.5,NO,0,0,53,0.7,174,7,14,386,836,1099,17,1,20,yes,0,not,0
9,509,yes,0.6,has,2,1,9,0.1,93,5,15,1137,1224,513,19,10,12,yes,0,no,0
10,769,yes,2.9,yes,0,0,9,0.1,182,5,1,248,874,3946,5,2,7,no,0,no,1
11,1520,yes,2.2,no,5,1,33,0.5,177,8,18,151,1005,3826,14,9,13,yes,1,yes,1
12,1815,no,2.8,no,2,0,33,0.6,159,4,17,607,748,1482,18,0,2,yes,0,no,0
13,803,yes,2.1,no,7,0,17,1,198,4,11,344,1440,2680,7,1,4,yes,0,has,0
14,1866,NO,0.5,NO,13,1,52,0.7,185,1,17,356,563,373,14,9,3,YES,0,yes,0
15,775,no,1,no,3,0,46,0.7,159,2,16,862,1864,568,17,15,11,yes,1,yes,0
16,838,no,0.5,Not,1,1,13,0.1,196,8,4,984,1850,3554,10,9,19,yes,0,Yes,1
17,595,no,0.9,YES,7,1,23,0.1,121,3,17,441,810,3752,10,2,18,yes,1,NO,1
18,1131,Yes,0.5,Yes,11,0,49,0.6,101,5,18,658,878,1835,19,13,16,yes,1,no,0
19,682,yes,0.5,no,4,0,19,1,121,4,11,902,1064,2337,11,1,18,no,1,yes,0
20,772,no,1.1,Yes,12,0,39,0.8,81,7,14,1314,1854,2819,17,15,3,yes,1,no,1
21,1709,has,2.1,NO,1,0,13,1,156,2,2,974,1385,3283,17,1,15,yes,0,no,1
22,1949,No,2.6,YES,4,0,47,0.3,199,4,7,407,822,1433,11,5,20,no,0,yes,0
23,1602,yes,2.8,yes,4,1,38,0.7,114,3,20,466,788,1037,8,7,20,yes,0,No,0
24,503,no,1.2,yes,5,1,8,0.4,111,3,13,201,1245,2583,11,0,12,Yes,0,no,0
25,961,has,1.4,yes,0,1,57,0.6,114,8,3,291,1434,2782,18,9,7,yes,1,YES,0
26,519,Has,1.6,yes,7,1,51,0.3,132,4,19,550,645,3763,16,1,4,Yes,0,Yes,1
27,956,no,0.5,Not,1,1,41,1,143,7,6,511,1075,3286,17,8,12,Has,1,no,1
28,1453,no,1.6,yes,12,1,52,0.3,96,2,18,187,1311,2373,10,1,10,Yes,1,Has,0
29,851,No,0.5,no,3,0,21,0.4,200,5,7,1171,1263,478,12,7,10,YES,0,yes,0
30,1579,yes,0.5,yes,0,0,5,0.2,88,7,9,1358,1739,3532,17,11,12,no,0,Yes,1
31,1568,yes,0.5,no,16,0,33,1,150,8,20,413,654,508,5,1,6,yes,1,Yes,0
32,1319,yes,0.9,Not,3,1,41,0.9,107,1,18,85,1152,2227,18,5,3,yes,1,YES,0
33,1310,yes,2.2,YES,0,1,51,0.6,100,4,0,178,1919,3845,7,0,12,yes,1,No,1
34,644,yes,2.7,no,0,0,22,0.7,157,8,3,311,881,1262,12,1,15,yes,0,no,0
35,725,no,1.3,yes,16,0,60,0.4,160,8,17,1134,1249,1326,10,4,15,yes,0,NO,0
36,589,yes,2.3,yes,1,0,61,0.6,160,4,10,429,815,2113,13,7,2,yes,0,YES,0
37,1725,yes,1.6,Has,6,1,6,0.5,119,2,18,609,1307,3429,6,5,4,Yes,1,NO,1
38,790,no,2,yes,16,1,11,0.3,87,6,17,347,730,3169,6,1,2,Yes,0,yes,0
39,560,No,0.5,yes,15,0,50,0.3,159,2,20,1448,1613,2150,18,12,11,Has,1,no,0
40,1347,no,2.9,not,5,0,44,0.6,132,1,14,434,967,2484,18,2,11,Yes,0,yes,0
41,1646,yes,2.3,No,8,1,41,0.2,185,2,10,1725,1932,3339,18,10,19,yes,1,no,1
42,1253,yes,0.5,yes,5,1,5,0.2,152,2,19,685,714,1878,15,0,4,yes,1,No,0
43,1656,NO,1,NO,5,1,34,0.1,166,3,7,880,1456,1629,15,12,14,yes,1,no,0
44,1195,yes,2.8,no,1,1,20,0.8,110,2,14,1580,1652,504,9,3,12,yes,1,no,0
45,1514,no,2.9,no,0,0,27,0.2,118,3,1,186,1810,1152,8,3,20,no,1,Yes,0
46,1723,yes,1.1,Yes,1,0,42,1,164,8,14,202,1791,3587,10,5,3,yes,0,No,1
47,1054,yes,1.8,Has,3,1,40,0.8,196,7,10,27,774,2296,16,12,12,YES,0,yes,0
48,578,yes,2.6,Yes,2,1,57,0.2,162,8,8,1025,1433,1270,15,3,5,yes,0,Yes,0
49,596,no,2.1,yes,9,0,64,0.8,111,8,15,885,1854,3238,16,13,10,no,0,No,1
50,1547,yes,3,yes,2,1,14,0.7,198,3,19,1042,1832,2059,5,0,15,yes,0,Yes,0
51,1760,NO,1.4,yes,5,0,63,0.8,127,8,19,1382,1383,2053,19,12,16,no,1,no,0
52,1654,Yes,1.5,yes,0,1,43,0.3,109,2,0,546,629,3112,12,5,10,yes,1,no,1
53,1457,no,1.9,Has,1,1,16,0.3,102,3,10,1013,1287,1440,17,8,12,YES,0,Yes,0
54,1073,Yes,0.5,yes,0,0,51,0.5,145,7,0,690,804,2908,6,0,18,no,1,Not,0
55,1936,Not,2.1,yes,10,1,46,0.6,104,3,20,667,1036,2552,14,7,13,Yes,0,no,0
56,823,has,2.7,yes,13,0,60,0.5,148,8,19,822,1449,905,14,11,17,yes,1,yes,0
57,987,NO,1.3,yes,0,1,61,0.4,107,3,9,581,820,3963,9,4,20,yes,0,yes,1
58,1757,Not,0.5,no,8,0,49,0.5,180,6,14,265,713,2056,7,5,4,NO,0,no,0
59,1063,no,1.4,Yes,2,1,48,1,128,5,4,127,683,2910,15,13,9,YES,1,yes,0
60,1484,no,3,no,3,0,12,0.6,134,3,5,916,969,1457,14,4,20,yes,1,No,0
61,799,YES,2.3,no,1,1,63,0.8,144,8,6,361,975,431,15,6,6,yes,1,Yes,0
62,1156,yes,1.2,yes,0,1,50,0.8,159,2,0,322,547,470,7,0,15,yes,1,no,0
63,1720,no,2,Not,15,1,55,0.5,168,2,18,753,1353,2148,14,2,5,yes,1,yes,0
64,702,no,2.6,yes,2,1,9,0.7,141,3,3,504,1570,2955,10,4,19,yes,0,no,0
65,616,no,1.9,yes,13,1,44,0.8,81,3,17,651,1618,3366,18,8,13,yes,1,no,1
66,1358,Has,0.5,No,11,1,36,0.3,155,4,14,1565,1858,3068,9,4,4,has,1,no,1
67,1866,no,1.4,no,0,0,30,0.5,182,3,0,108,1781,3834,16,11,8,NO,0,no,1
68,1242,no,1.1,yes,0,0,10,0.6,165,2,1,459,1225,1050,11,1,4,yes,0,yes,0
69,1166,no,1.5,yes,0,1,43,0.8,80,4,1,205,603,3993,7,1,7,yes,1,no,1
70,1448,Has,0.5,yes,6,1,45,0.8,138,7,11,570,1724,3378,13,11,2,Yes,1,yes,1
71,1407,yes,2.4,no,1,1,22,0.7,104,4,4,1172,1217,2192,9,7,13,yes,0,Yes,0
72,605,no,1,No,8,1,9,0.1,142,3,16,160,1026,392,15,6,4,yes,0,no,0
73,1038,no,1.2,No,3,0,43,0.7,141,1,5,4,638,3709,11,0,12,yes,1,yes,1
74,797,yes,2.9,has,4,0,38,0.5,90,4,6,763,1413,590,9,2,6,no,1,no,0
75,819,not,0.6,yes,8,1,42,0.9,188,6,20,339,1242,1814,5,4,13,yes,0,YES,0
76,1114,no,2.8,no,4,1,9,0.4,197,3,15,1040,1071,907,10,7,17,yes,1,No,0
77,1234,yes,1.6,has,1,0,33,0.6,172,1,3,166,778,1449,11,7,6,no,0,has,0
78,1199,yes,2.5,yes,15,1,16,0.2,116,4,20,1168,1552,3448,17,13,10,yes,0,Yes,1
79,1103,Not,1,yes,6,0,29,0.7,111,6,8,990,1486,1837,8,7,16,No,1,has,0
80,1589,yes,0.6,YES,0,1,58,0.9,85,7,7,319,1206,3464,19,10,6,yes,1,yes,1
81,999,no,2.9,yes,11,1,64,0.2,199,4,19,1397,1616,2593,14,11,16,yes,1,no,0
82,1510,yes,0.9,yes,2,0,45,0.9,180,5,3,708,1752,3484,9,6,11,no,1,has,1
83,1008,no,0.8,no,11,0,61,1,114,3,15,1077,1122,2009,10,3,11,yes,0,No,0
84,1127,yes,2.9,Yes,5,1,57,0.8,163,1,13,928,1049,2048,11,5,17,yes,1,Yes,0
85,1412,yes,2.4,no,5,0,25,0.8,96,8,17,516,1894,837,15,9,4,not,0,has,0
86,1496,yes,2,yes,4,0,42,0.5,182,5,5,96,741,854,16,0,7,no,1,YES,0
87,1083,has,2.9,Yes,1,1,64,0.8,178,3,11,1025,1118,3210,13,3,4,Yes,0,No,1
88,668,no,0.5,YES,0,0,3,0.1,155,5,13,666,1203,2746,9,5,8,YES,1,yes,0
89,1309,no,1.1,yes,0,0,33,0.5,100,4,14,557,1402,2334,10,1,11,yes,0,YES,0
90,1724,no,2,yes,2,1,57,0.5,177,3,5,1605,1924,2822,19,3,16,has,1,no,1
91,1977,Yes,2,YES,7,1,54,1,171,7,18,1226,1242,1971,18,7,14,Yes,1,no,0
92,885,no,2.3,has,0,1,15,0.4,103,7,0,769,802,1410,16,10,5,yes,1,Yes,0
93,879,YES,2.5,no,11,1,14,0.7,83,6,15,403,1105,349,16,10,2,yes,0,Yes,0
94,1322,No,1.7,yes,6,0,7,0.8,140,3,9,177,1990,1418,19,17,12,no,1,no,0
95,1137,yes,1,NO,18,0,7,1,196,3,19,942,1179,3616,13,5,12,Yes,1,yes,1
96,1355,no,2.3,no,10,1,23,0.2,132,5,16,651,891,880,19,4,8,Yes,1,no,0
97,1665,yes,0.5,No,3,1,60,0.2,194,6,18,1572,1684,1601,18,17,14,yes,0,no,0
98,657,No,2.5,no,0,0,37,0.7,141,2,1,476,961,1412,14,3,18,no,1,no,0
99,593,No,0.5,no,6,0,31,0.4,156,7,7,1233,1317,1692,6,2,7,yes,0,NO,0
100,1883,Has,0.5,no,3,1,10,0.3,146,6,13,836,1739,2600,16,8,20,Yes,0,no,1
101,1732,Yes,1.1,No,4,1,12,0.8,119,8,9,824,881,1308,16,7,11,yes,0,yes,0
102,543,No,0.5,NO,0,0,57,0.7,192,5,4,391,984,2413,17,14,15,Yes,0,no,0
103,1939,yes,2.8,yes,0,1,55,0.6,199,4,10,320,520,1047,14,10,18,YES,1,no,0
104,553,no,2.4,yes,1,1,8,0.5,121,7,3,325,902,1204,11,4,8,Yes,1,yes,0
