1,Afghanistan,Asia,Asia
2,Albania,Europe,Europe
3,Algeria,Africa,Africa
4,Angola,Africa,Africa
5,Antigua and Barbuda,North America,Americas
6,Argentina,South America,Americas
7,Armenia,Asia,Middle east
8,Australia,Oceania,Pacific
9,Austria,Europe,Europe
10,Azerbaijan,Asia,Middle east
11,Bahamas,North America,Americas
12,Bahrain,Asia,Middle east
13,Bangladesh,Asia,Asia
14,Barbados,North America,Americas
15,Belarus,Europe,Europe
16,Belgium,Europe,Europe
17,Belize,North America,Americas
18,Benin,Africa,Africa
19,Bhutan,Asia,Middle east
20,Bolivia,South America,Americas
21,Bosnia and Herzegovina,Europe,Europe
22,Botswana,Africa,Africa
23,Brazil,South America,Americas
24,Brunei,Asia,Middle east
25,Bulgaria,Europe,Europe
26,Burkina Faso,Africa,Africa
27,Burundi,Africa,Africa
28,Cambodia,Asia,Asia
29,Cameroon,Africa,Africa
30,Canada,North America,Americas
31,Cape Verde,Africa,Africa
32,Central African Republic,Africa,Africa
33,Chad,Africa,Africa
34,Chile,South America,Americas
35,China,Asia,Asia
36,Colombia,South America,Americas
37,Comoros,Africa,Africa
38,Congo,Africa,Africa
39,Costa Rica,North America,Americas
40,Cote d'Ivoire,Africa,Africa
41,Croatia,Europe,Europe
42,Cuba,North America,Americas
43,Cyprus,Europe,Europe
44,Czechia,Europe,Europe
45,Denmark,Europe,Europe
46,Djibouti,Africa,Africa
47,Dominica,North America,Americas
48,Dominican Republic,North America,Americas
49,Ecuador,South America,Americas
50,Egypt,Africa,Africa
51,El Salvador,North America,Americas
52,Equatorial Guinea,Africa,Africa
53,Eritrea,Africa,Africa
54,Estonia,Europe,Europe
55,Eswatini,Africa,Africa
56,Ethiopia,Africa,Africa
57,Fiji,Oceania,Pacific
58,Finland,Europe,Europe
59,France,Europe,Europe
60,Gabon,Africa,Africa
61,Gambia,Africa,Africa
62,Georgia,Asia,Europe
63,Germany,Europe,Europe
64,Ghana,Africa,Africa
65,Greece,Europe,Europe
66,Grenada,North America,Americas
67,Guatemala,North America,Americas
68,Guinea,Africa,Africa
69,Guinea-Bissau,Africa,Africa
70,Guyana,South America,Americas
71,Haiti,North America,Americas
72,Honduras,North America,Americas
73,Hungary,Europe,Europe
74,Iceland,Europe,Europe
75,India,Asia,Asia
76,Indonesia,Asia,Asia
77,Iran,Asia,Middle east
78,Iraq,Asia,Middle east
79,Ireland,Europe,Europe
